english	thai	current_paiboon
glitter	มันวาว	man-waao
confidently	มั่นอกมั่นใจ	man-ok-man-jai
be confident	มั่นอกมั่นใจ	man-ok-man-jai
confident	มาดมั่น	maa-man
intend	มาดมั่น	maa-dman
milligram	มิลลิกรัม	mil-li-gram
be colorful	มีสีสัน	mii-sǐi-san
colorful	มีสีสัน	mii-sǐi-san
have a circle of friends	มีเส้นมีสาย	mii-sên-mii-saai
reason	มีเหตุมีผล	mii-hèt-mii-pǒn
emphasize	มุ่งเน้น	múng-nen
work together	ร่วมงาน	ruam-ngaan
summarize	รวมความ	rúam-kwaam
fast	รวดเร็วทันใจ	rùat-rèp-tan-jai
smile	รอยยิ้ม	ròoi-yîm
be very difficult	ยากเย็น	yaa-yen
antibiotic	ยาปฏิชีวนะ	yaa-bpa-dtì-chii-wa-na
attend a ceremony	ร่วมงาน	rûam-ngaan
the best medicine	ยาวิเศษ	yaa-wí-sèet
smoothly	ราบเรียบ	raab-riap
course	รายวิชา	raai-wi-chaa
pore	รูขุมขน	ruu-kum-kon
case	รูปคดี	rúup-ka-dii
smooth	ราบเรียบ	raab-riap
turn over a board	ล้มกระดาน	lóm-gra-daan
far apart	ลิบ	líp
exorbitant	ลิบลิ่ว	lib-lìw
track	ลู่	lùu
be blown	ลู่	lùu
work cycle	วงงาน	wong-ngaan
same day	วันเดียวกัน	wan-diiao-gan
bravery	วีรกรรม	wii-gam
join donating	สมทบทุน	som-top-tun
comfortable	สมบูรณ์พูนสุข	som-buurm-phuun-suk
properly	สมวัย	som-wai
intestine	ลำไส้	lam-sai
play performed by all female	ละครใน	la-kон-nai
Thai painting	ลายไทย	laai-tai
future	วันข้างหน้า	wan-khaang-naa
someday	วันใด	wan-dai
today	วันนี้	wan-níi
childhood years	วัยเยาว์	wai-yao
studying age	วัยเรียน	wai-rian
teen-age	วัยหนุ่มวัยสาว	wai-nùm wai-saao
humble	เจียมตน	jia-m-dton
totally	เต็มเปา	dtem-bpao
stove	เตา	dtao
kiln	เตาเผา	dtao-pao
god	เทพ	thêep
soak	เปียกโชก	bpia-chòok
grave	หลุมศพ	lùm-sòp
be afraid	หวั่นวิตก	hùan-wít-dok
whistlingly	หวีดหวิว	wǐit-wǐu
starve to death	อดตาย	òt-dtaai
territory	อาณาจักร	aa-naa-jak
territory	อาณาจักร	aa-naa-jak
facilitate	อำนวยความสะดวก	am-nua-y-kwaam-sa-dua-k
ubosot	อุโบสถ	u-boo-sòt
pray in every fortnight	อุโบสถ	u-boh-sòt
ubosot	อุโบสถ	u-boo-sòt
Buddhist holy day	อุโบสถ	u-boh-sòt
consume	อุปโภค	up-po-ok
come to terms	ฮั้ว	hûa
Hindu	ฮินดู	hin-duu
Hinduism	ฮินดู	hin-duu
tape	เทป	têep
cigarette butt	ก้นกรอง	gón-groong
reserve money	ก้นถุง	gón-túng
scream	กรี๊ดสลบ	grîit-sòp
trick	กลเม็ดเด็ดพราย	gon-mèd-dèd-praai
irritate	กวนโอ๊ย	guan-ooey
guarantee	การันตี	gaa-ran-dii
glue	กาวใจ	gaao-jai
poor	กิ๊กก๊อก	gík-gók
worry	เก๊กซิม	gek-sim
check	เก็บงาน	gèp-ngaan
hide the feeling	เก็บอาการ	gèp-aa-gaan
Gay Queen	เกย์ควีน	gee-kwin
Gay King	เกย์คิง	gee-king
lie	ขี้จุ๊	kîi-júk
dust on the foot or sole	ขี้ตีน	kʰîi-dtin
be apt to make false claims	ขี้ตู่	kîi-dtùu
drunken	ขี้เมาหยำเป	kìi-mao-yam-bpe
be dead drunk	ขี้เมาหยำเป	kìi-mao-yam-bpe
be tricky	เขี้ยวลากดิน	khǐiao-laag-din
motto	คติประจำตัว	kit-bpra-jam-dtua
philanthropist	คนใจบุญ	kon-jai-bun
frisk	ค้นตัว	kón-dtua
soldier	คนมีสี	kon-mii-sǐi
cry over	ครวญคร่ำ	krua-yom-kram
be still an unmarried woman	ครองความสาว	krong-kwaam-saao
occupy	ครองอำนาจ	kroong-am-naaj
when	คราใด	kraa-dai
classic	คลาสสิก	klaa-sìk
fall and roll on the ground	คลุกฝุ่น	klùk-fùn
condom	คอนดอม	kon-dom
be doubtful	คาใจ	kaa-jai
doubtful	คาใจ	kaa-jai
be irritated	คายตัว	khai-dua
spoonerism	คำผวน	kam-puan
be misled	คิดผิด	khít-phìt
boon companion	คู่ซี้	kûu-sîi
important match	คู่เอก	kùu-èek
credit card	เครดิตการ์ด	kre-dit-gaat
coach	โค้ช	khóot-ch
code	โค้ด	khôot
odd job	งานจร	ngaan-jon
trifling	จิ๊บจ๊อย	jíp-joy
turning point	จุดพลิกผัน	jùt-plik-pan
dig into	เจาะใจ	jo̍-jai
perform shadow-boxing	ชกลม	chók-lom
cold	ชาเย็น	chaa-yèn
iced tea	ชาเย็น	chaa-yèn
compete for the prize or reward	ชิงโชค	ching-chok
ask for the bill	เช็คบิล	chek-bin
take revenge	เช็คบิล	chék-bin
grocery	โชห่วย	choo-hùay
dirty	ซกมก	sòg-mòg
resignation	ซองขาว	song-khaao
brand-new	ซิงซิง	sing-sing
influence by giving money	ซื้อใจ	súu-jai
be submissive	ซูฮก	suu-hòk
stagger	เซถลา	sè-tlaa
Buddhist novice	เณร	nee
have bad luck	ดวงจู๋	duang-juu
jubilantly	ดี๊ด๊า	dii-daa
slowly	ดุบดิบ	dùp-dìp
bad	เดนนรก	den-nók
be to one's taste	โดนใจ	doon-jai
pawn ticket	ตั๋วจำนำ	dtǔa-jam-nam
lose all one's money	ตัวเบา	dtua-bao
little kid	ตัวเล็ก	dtua-lèk
low-ranking official	ตัวเล็ก	dtua-lèk
innocent	ตาดำๆ	dtaa-dam-dam
naturally die	ตายดี	dtaai-dii
be stable	ติดลมบน	dtìt-lom-bon
pretend to be acquainted	ตีซี้	dtii-síi
buy a half-priced ticket	ตีตั๋วเด็ก	dtii-dtǔa-dèk
tuk-tuk	ตุ๊กๆ	dtúk-dtúk
homosexual	ตุ๊ด	dtúk
have a punishment kick	เตะโทษ	dtè-tôot
double bed	เตียงคู่	dtiang-kuu
camp bed	เตียงสนาม	dtia-sanam
aimlessly	โต๋เต๋	dtoo-dtoo
Chinese dishes	โต๊ะจีน	dtó-jiin
be pertinent	ถูกจุด	tùug-jùd
modernize	ทันโลก	tan-look
hurt	ทารุณจิตใจ	taa-run-jit-jai
work	ทำการทำงาน	tam-gaan-tam-ngaan
make a profit	ทำกำไร	tam-gam-rai
act arbitrary	ทำโดยพลการ	tam-doi-pon-gaan
treat  as a trifle	ทำเป็นเล่น	tam-bpen-len
tissue paper	ทิชชู	tít-chuu
dump money to	ทุ่มทุน	túm-tun
cheer	เทใจ	tee-jai
pawn-shop	ธนานุบาล	ta-naa-nu-baan
person	นรชน	non-ra-chon
person	นรชาติ	non-chaat
knock	น็อค	nók
volleyball player	นักตบ	nak-dtòp
perfectly	เนี้ยบ	níap
screenplay	บทภาพยนตร์	bòt-paa-yon
package	บรรจุภัณฑ์	ban-ju-pan
black list	บัญชีดำ	ban-chii-dam
do single-handed	บินเดี่ยว	bin-dìiao
turn	เบนเข็ม	ben-kèm
people and ascetics	ประชาชี	bpra-chaa-chii
stupid	ปัญญานิ่ม	bpan-yaa-nim
pick-up	ปิคอัพ	bpi-kʰap
private	ไปรเวต	bprai-wet
break one's word	ผิดคำพูด	pìt-kam-pûut
commander in chief	ผู้การ	pûu-gaan
bear	พกพา	pók-paa
succeed in escaping	พ้นตัว	pón-dtua
break one's word	พลิกลิ้น	plik-lín
belly	พุงกะทิ	pung-ka-ti
pager	เพจเจอร์	pee-jer
become rotten	ฟอนเฟะ	fon-fe
haphazardly	มั่วซั่ว	mûa-sûa
pick at random	มั่วซั่ว	mûa-sûa
seize an opportunity	มั่วนิ่ม	mûa-nim
midnight	มิดไนท์	mid-nai
minimart	มินิมาร์ท	mi-ni-maat
menu	เมนู	mee-nuu
hang	เมาค้าง	mao-khaang
yeast	ยีสต์	yîit
assemble	รวมตัว	rua-dtua
contemporary	ร่วมสมัย	rûam-sa-mai
delicious	รสเด็ด	rót-dèt
be delicious	รสเด็ด	rót-dèt
very fast	เร็วจี๋	réw-jii
lined pattern	ลายเส้น	laai-sen
teenager	วัยโจ๋	wai-joo
trajectory	วิถีกระสุน	wi-tǐi-gra-sun
indebtedness	หนี้บุญคุณ	nîi-bun-kun
hide	หมกเม็ด	mòg-mèd
be at one wit's end	หมดภูมิ	mòd-puu-mi
have no dignity	หมดภูมิ	mòd-puum
be emotionless	หมดอารมณ์	môd-aa-rom
emotionlessly	หมดอารมณ์	mòd-aa-rom
uhu	อู้ฮู	ûu-huu
be bored	เอียน	ian
Kilobyte	กิโลไบต์	gi-loo-bai
GPA	จีพีเอ	jii-pii-e
GSM	จีเอสเอ็ม	jii-ee-sem
JICA	ไจกา	jai-gaa
Southeast Asia Games	ซีเกมส์	sii-geem
CD	ซีดี	sii-dii
CVD	ซีวีดี	sii-wii-dii
CNN	ซีเอ็นเอ็น	sii-èn-èn
CIA	ซีไอเอ	sii-ai-e
DJ	ดีเจ	dii-jee
DDT	ดีดีที	dii-dii-tii
DNA	ดีเอ็นเอ	dii-en-e
Telephone Organization of Thailand	ทีโอที	tii-oo-tii
NASA	นาซา	naa-saa
NATO	นาโต	naa-dto
NAFTA	นาฟตา	naa-ftaa
NIC	นิค	ník
NECTEC	เนคเทค	nek-tek
BC	บีซี	bii-sii
BTU	บีทียู	bii-dtii-yuu
BBC	บีบีซี	bii-bii-sii
B.A.	บีเอ	bii-e
BOI	บีโอไอ	bii-oo-ai
senior police colonel	พ.ต.อ.พิเศษ	p-dt-o-pi-sèt
senior colonel	พ.อ.พิเศษ	po-o-pi-sèet
PC	พีซี	pii-sii
PVC	พีวีซี	pii-wii-sii
P.R.	พีอาร์	pii-aa-r
p.m.	พีเอ็ม	pii-em
UNICEF	ยูนิเซฟ	yuu-ni-sef
UNESCO	ยูเนสโก	yuu-nes-ko
UPS	ยูพีเอส	yuu-pii-èe
UV	ยูวี	yuu-wii
UHT	ยูเอชที	yuu-ee-tii
UN	ยูเอ็น	yuu-èn
unidentified flying object	ยูเอฟโอ	yuu-ee-foo
year 2000	วายทูเค	wai-tuu-khee
video	วีดีโอ	wii-dii-o
very superior old	วีเอสโอ	wii-ee-soo
very important person	วีไอพี	wii-ai-pii
Association of Southeast Asian Nations	อาเซียน	aa-sia-n
ASEAN Free Trade Area	อาฟตา	aa-ftaa
Emotional Intelligence	อีคิว	ii-kiu
Express Mail Service	อีเอ็มเอส	ii-èm-èe
Human Immune-deficiency Virus	เอชไอวี	ee-chi-ai-wii
Acquired Immune Deficiency Syndrome	เอดส์	èet
Non Government Organizations	เอ็นจีโอ	en-jii-o
National Basketball Association	เอ็นบีเอ	èn-bii-èe
anti-lock brake system	เอบีเอส	ee-bii-ee
frequency modulation	เอฟเอ็ม	èf-èm
Managing Director	เอ็มดี	èm-dii
Sun protection factor	เอสพีเอฟ	es-pii-ef
Alpha Hydroxy Acid	เอเอชเอ	ee-eet-chee-ee
ante meridiem	เอเอ็ม	ee-em
Asian Institute of Technology	เอไอที	ee-ai-tii
over time	โอที	oo-tii
Organization of Petroleum Exporting Countries	โอเปค	o-bpèk
out-patient department	โอพีดี	oo-bpii-dii
Intelligence Quotient	ไอคิว	ai-kiu
integrated circuit	ไอซี	ai-sii
I Seek You	ไอซีคิว	ai-sii-kiu
intensive care unit	ไอซียู	ai-sii-yuu
informational technology	ไอที	ai-tii
International Monetary Fund	ไอเอ็มเอฟ	ai-em-ef
International Standard Book Number	ไอเอสบีเอ็น	ai-ee-bii-en
International Standard Serial Number	ไอเอสเอสเอ็น	ai-ee-s-ee-n
International Organization for Standardization	ไอเอสโอ	ai-ee-soo
World Health Organization	ฮู	huu
communication center	ศูนย์การคมนาคม	sǔun-gaan-kom-na-kom
commanding center	ศูนย์บัญชาการ	sǔun-ban-chaa-gaan
health park	สวนสุขภาพ	suan-suk-phaap
kitchen garden	สวนครัว	suan-krua
amusement park	สวนเด็กเล่น	suan-dèk-lên
bird park	สวนนก	suan-nok
ocean park	สวนน้ำ	suan-nam
penalty	ลูกโทษ	lûuk-toot
penalty kick	การเตะลูกโทษ	gaan-dtè-lûuk-tôot
hairstyle	ทรงผม	song-pom
minute hand	เข็มนาที	khem-naa-tii
dummy	หุ่นโชว์	hun-choo
visual signal	สัณญาณภาพ	san-nyaa-na-phaap
types	ตัวพิมพ์	dtua-pim
leading article	บทบรรณาธิการ	bot-ban-naa-ti-gaan
colon	ทวิภาค	tu-wi-phaak
skydiving	การกระโดดร่ม	gaan-gra-dòdt-rôm
angling	การตกปลา	gaan-dtòk-bplaa
balancing act	การทรงตัว	gaan-song-dtua
lecture	การบรรยาย	gaan-ban-yaai
shaving cream	ครีมโกนหนวด	kriiм-goon-nùat
wall lamp	โคมไฟติดผนัง	koom-fai-dtìt-pnang
view point	จุดชมวิว	jùt-chom-wii
penalty spot	จุดโทษ	jùd-tôot
ticket	ตั๋วรถไฟ	dtǔa-rót-fai
medicine cupboard	ตู้ยา	dtûu-yaa
microwave	เตาไมโครเวฟ	dtao-mai-kroo-wep
hospital bed	เตียงคนไข้	dtiang-kon-kai
double bed	เตียงคู่	dtiang-kuu
films cript	บทภาพยนตร์	bòt-paa-p-yon
ladder	บันไดหนีไฟ	ban-dai-nii-fai
continuity girl	ผู้กำกับบท	pûu-gam-gap-bòt
stage director	ผู้กำกับเวที	pûu-gam-gap-wee-tii
nail varnish	ยาทาเล็บ	yaa-taa-lèp
cabin	รถกระเช้า	rót-gra-chao
quadrilateral	รูปสี่เหลี่ยม	rûup-sìi-lìam
trapezium	รูปสี่เหลี่ยมคางหมู	rûup-sìi-lìiam-kaang-muu
square	รูปสี่เหลี่ยมจัตุรัส	rûup-sìi-lìam-jat-tu-rat
hexagon	รูปหกเหลี่ยม	rúup-hòk-lìam
polygon	รูปหลายเหลี่ยม	rûup-laai-lìam
conference table	โต๊ะประชุม	dtó-bpra-chum
ashtray	ที่เขี่ยบุหรี่	tîi-kìia-bu-rìi
forestry office	ที่ทำการป่าไม้	tîi-tam-gaan-bpaa-mai
dashed line	เส้นประ	sên-bpra
be habitual	กลายเป็นนิสัย	glai-bpen-ní-sai
redeem a mistake	ไถ่โทษ	thai-tôot
the assured	ผู้เอาประกันภัย	pûu-ao-bpra-gan-pai
bun	มวยผม	muay-pom
actually	ตามความเป็นจริง	dtaam-kwaam-bpen-jing
contempt	คำปรามาส	kam-bpra-maat
be immoral	ไร้ศีลธรรม	rai-sǐil-tam
look up at	เเหงนมอง	
be henpecked	กลัวเมีย	glua-mia
be absorbed in	ง่วนอยู่กับ	nguan-yuu-gap
be bogged down in	จมอยู่กับ	jom-yùu-gap
be colic	จุกเสียด	juk-sìat
try to make time	เจียดเวลา	jìat-wee-laa
keep right	ชิดขวา	chìt-kwaa
on the right hand side	ชิดขวา	chít-kwaa
look good	ดูดี	duu-dii
fall quickly	ตกฮวบ	dtòk-huap
prepare oneself	เตรียมใจ	dtriam-jai
do casually	ทำลวกๆ	tam-luak-luak
duplicate	ทำสำเนา	tam-sam-nao
tempt	ปลุกอารมณ์	bplùk-aa-rom
close down	ปิดกิจการ	bpìd-gìt-gaan
close tightly	ปิดเงียบ	bpìd-ngîap
speak rapidly and clearly	พูดรัว	pûut-ruua
arrive late	มาสาย	maa-sai
arrive late	มาสาย	maa-saai
be significant	มีความสำคัญ	mii-kwaam-sam-khan
participate in	มีส่วนร่วม	mii-sùan-ruam
be likely	มีโอกาส	mii-oo-gaas
not find fault with	ไม่เอาผิด	mai-ao-pit
surrender	ยกธง	yók-tong
anger	ยั่วโมโห	yûa-moo-hǒo
summon	เรียกตัว	ríak-dtua
be busy with	วุ่นอยู่กับ	wùn-yùu-gap
waste	เสียเปล่า	sǐa-bplao
waste time	เสียเวลา	sǐa-wee-laa
terminate one's contract	หมดสัญญา	mòd-san-yaa
exhaust one's power	หมดอำนาจ	mòd-am-naad
approve	อนุมัติ	a-nu-mat
vagina	อวัยวะเพศหญิง	a-wai-wa-pêet-yǐng
devote oneself to	อุทิศตัว	u-tít-dtua
game show	เกมส์โชว์	gem-choo
digital video disc	ดีวีดี	dii-wii-dii
rock music	เพลงร็อค	phleng-rok
microphone	ไมโครโฟน	mai-kroo-foon
hang up	วางสาย	waang-saai
rhetoric	วาทศิลป์	waat-sǐn
variety show	วาไรตี้โชว์	waa-rai-dtîi-choo
pause	หยุดชั่วคราว	yùt-chûa-kraao
ideal	อุดมคติ	u-dom-ka-dti
ozone	โอโซน	oo-soon
learning process	กระบวนการเรียนรู้	gra-buan-gaa-rian-ruu
field events	กรีฑาประเภทลาน	grii-dtaa-bpra-pêet-laan
invert	กลับหัว	glap-hǔa
battery	การทำร้ายร่างกาย	gaan-tam-raai-raang-gaay
charity	กุศลจิต	gù-sun-jìt
out of sight of	ไกลลิบ	gai-líp
protectorate	เขตคุ้มครอง	kèet-kúm-kroong
relieve distress	คลายทุกข์	klai-túk
control the prices of	ควบคุมราคา	khuap-khum-raa-khaa
catchword	คำพูดติดปาก	kam-pûut-dtìt-bpaak
espionage	จารกรรม	jaa-ra-gam
unexpected	โดยไม่ได้คาดฝัน	doy-mai-dai-kaat-fan
fall in love	ตกหลุมรัก	dtòk-lùm-rak
twist	บิดเบน	bid-ben
air compressor	ปั๊มลม	bpum-lom
be acquitted	พ้นผิด	pón-pìt
blast	พ่นลม	pòn-lom
pornography	ภาพลามก	paa-plaa-mok
meaningful	มีความหมาย	mii-kwaam-măai
get into	มีส่วนพัวพัน	mii-sùan-pua-pan
under the belt	ไม่เป็นธรรม	mai-bpen-tam
have no brain	ไม่มีความคิด	mai-mii-kwaam-kit
put the blame	โยนความผิด	yoon-kwaam-pit
capitalism	ลัทธิทุนนิยม	lat-tí-tun-ní-yom
materialism	วัตถุนิยม	wat-tu-ni-yom
expiration date	วันหมดอายุ	wan-mòt-aa-yu
art appreciation	ศิลปนิยม	sǐl-bpa-ní-yom
Steroids	สเตียรอยด์	s-dtia-roid
accountant	สมุห์บัญชี	som-bun-chii
noise	สัญญาณรบกวน	san-yaa-nam-róp-guan
corporal	สิบโท	sìp-too
sergeant	สิบเอก	sìp-èek
defend	สู้คดี	sûu-ka-dii
ego	อัตตา	at-dtaa
senior	อาวุโส	aa-wú-sǒo
be end	จบเกม	jòp-gem
abase	ลดเกียรติ	lód-gia-dtì
workday	วันทำงาน	wan-tam-ngaan
fight a lawsuit	สู้ความ	sûu-kwaam
green card	กรีนการ์ด	grii-gaan-dit
quality control	การควบคุมคุณภาพ	gaan-kuap-kum-kun-naa-pap
air traffic	การจราจรทางอากาศ	gaan-ja-raa-jon-taang-aa-gaat
auction	การประมูล	gaan-bpra-muun
net profit	กำไรสุทธิ	gam-rai-sùt-tí
look!	จงดู	jong-duu
dish	จานดาวเทียม	jaan-daao-tiiam
new look	โฉมใหม่	chom-mai
Down's syndrome	ดาวน์ซินโดรม	daao-sin-doo-rom
town house	ทาวน์เฮาส์	taao-hao
boutique	บูติก	bu-dtìk
in-house	ภายในประเทศ	paa-nai-bpra-deet
tram	รถราง	rót-raang
pager	วิทยุติดตามตัว	wít-ya-dtìt-dtaam-dtua
mall	ศูนย์การค้า	sun-gaan-kaa
black hole	หลุมดำ	lùm-dam
EQ	อีคิว	ii-kiu
dish	จานดาวเทียม	jaan-daao-tiiam
new look	โฉมใหม่	chom-mai
Down's syndrome	ดาวน์ซินโดรม	daao-sin-doo-rom
town house	ทาวน์เฮาส์	tao-hao
boutique	บูติก	buu-dtìk
in-house	ภายในประเทศ	phai-nai-bpra-tèet
wireless	ไร้สาย	rai-saai
mall	ศูนย์การค้า	sǔun-gaan-kaa
black hole	หลุมดำ	lùm-dam
EQ	อีคิว	ii-kiu
showroom	โชว์รูม	choo-ruum
chemical weapon	อาวุธเคมี	aa-wut-kee
website	เว็บไซต์	wép-sai
chief engineer	นายช่างใหญ่	naai-chaang-yai
good boy	เด็กดี	dèk-dii
provincial part	ภูมิภาค	puu-mi-phaak
provincial	ภูมิภาค	puu-mí-phaak
native habitat	ภูมิลำเนา	puu-mi-lam-nao
be angry	โมโห	moo-hǒo
angry	โมโห	moo-hǒo
friendship	ไมตรี	mai-dtrii
disease	โรค	rôok
psychosis	โรคจิต	roo-jit
sprinkle	โรย	rooy
pay out	โรย	rooay
unroll	โรย	rooy
field	ไร่นา	rai-naa
world	โลก	lôok
greed	โลภ	loo-p
oh	โว้ย	wóai
white wine	ไวน์ขาว	wai-khaao
honour	ศรี	sǐi
splendor	ศิริ	sǐ-ri
art	ศิลป์	sǐn
work of art	ศิลปกรรม	sìn-la-ba-gam
artist	ศิลปิน	sǐl-bpìn
stone	ศิลา	sǐ-laa
student	ศิษย์	sìt
precept	ศีล	sǐil
morality	ศีลธรรมจรรยา	sǐil-tam-jan-yaa
centre	ศูนย์	sùun
zero	ศูนย์	sǔun
disappear	ศูนย์	sǔun
bright green	โศก	sòok
be sad	โศก	sòok
be dirty	สกปรก	sòk-bprók
family	สกุล	sa-gun
noble birth	สกุล	sa-gun
be bright	สดใส	sòt-sai
information	สนเทศ	sǒn-têet
join	สนธิ	sǒn-tí
Spain	สเปน	s-bpen
spray	สเปรย์	s-bprey
equilibrium	สมดุล	som-dun
equilibrium	สมดุลย์	som-dul
majesty	สมเด็จ	sǒm-dèt
join	สมทบ	som-top
perfectly	สมบูรณ์	som-bûun
be perfect	สมบูรณ์	som-buurun
abbot	สมภาร	som-paan
suppose	สมมติ	som-mùt
suppose	สมมุติ	som-mut-dtì
battlefield	สมรภูมิ	som-ra-puu-mi
marry	สมรส	som-rot
visiting book	สมุดเยี่ยม	som-dù-yîam
herb	สมุนไพร	so-mun-prai
all of life	สรรพชีวิต	san-np-chii-wit
part	ส่วน	sùan
classifier	ส่วนขยาย	sùan-ka-yaa
part	ส่วนงาน	sùan-ngaan
personal	ส่วนบุคคล	sùan-buk-kon
joint garden	สวนผสม	suan-psom
ingredient	ส่วนผสม	sùan-psom
private	ส่วนพระองค์	suan-pra-ong
parade	สวนสนาม	suan-sa-naam
importance	ส่วนสำคัญ	sùan-sam-kun
federal state	สหพันธรัฐ	sa-ha-pan-ta-rat
travel	สัญจร	san-jon
clock signal	สัญญาณนาฬิกา	san-yaa-na-li-gaa
inborn trait	สันดาน	san-daan
relatedness	สัมพันธ์	sam-pan
